Section,Success,Enrolled
20093,28,35
20094,35,38
20095,23,30
20098,25,33
20099,16,25
20646,20,22
20649,27,33
20650,33,35
20651,32,36
21249,8,9
21250,29,35
21350,23,25
21351,0,0
21357,14,19
21358,0,0
21359,18,20
21360,0,0
21438,26,30
21439,19,21
21441,32,33
21772,22,24
21773,25,30
21774,20,21
21790,14,18
21900,17,27
21901,21,34
21902,24,34
21903,22,26
21906,23,35
21907,17,33
21908,23,29
21912,18,21
21913,0,0
21914,31,34
21915,0,0
21916,31,37
21917,0,0
21918,12,12
21919,0,0
21920,26,31
21921,0,0
21922,20,22
21923,0,0
21924,23,34
21925,0,0
21928,26,26
21929,0,0
21930,22,22
21931,0,0
21932,32,33
21933,0,0
21934,28,40
21935,0,0
21936,22,24
21937,18,23
21938,13,19
21940,10,14
21941,10,14
21942,0,0
21945,18,20
21948,14,18
21950,7,12
21951,13,19
21957,14,20
21958,19,30
21959,15,18
21961,24,35
21968,2,2
21969,13,14
21970,3,4
21971,18,28
21972,36,44
21973,15,17
21974,18,23
21975,20,23
21976,26,30
21977,13,16
21979,18,23
21980,14,19
21981,12,15
21984,29,35
21986,29,34
21989,0,0
21992,5,5
21993,4,4
21994,1,1
21995,2,2
21996,12,14
21998,2,2
22001,0,0
22063,24,27
22123,22,27
22124,28,29
22126,34,34
22202,20,21
22287,19,22
22293,26,28
22294,0,0
22549,12,14
22551,35,37
22554,20,39
22661,19,41
22849,16,20
22851,36,37
22852,30,36
22856,17,24
22876,13,15
23561,21,26
23569,24,31
23570,27,29
23571,37,40
23573,36,38
23574,22,26
23585,15,19
23586,14,14
23770,31,38
23771,19,34
23782,20,20
23783,19,22
24005,15,18
24099,27,30
24172,0,0
24173,0,0
24408,30,31
24409,38,40
24420,26,36
24421,27,32
24431,16,27
24432,16,23
24434,9,10
25158,31,31
25200,17,27
25411,18,22
25412,30,37
25586,23,30
25587,23,28
25589,26,27
25590,36,43
25596,18,23
25597,0,0
25664,32,34
25668,24,27
25738,23,29
25740,19,21
26047,21,26
26055,15,18
26086,27,32
26110,18,22
26202,27,31
26203,13,13
26210,30,30
26211,29,34
26216,37,39
26218,33,34
26545,35,37
26748,16,29
26781,25,30
26992,14,16
26997,22,29
27005,10,12
27141,22,25
27142,26,36
27285,0,0
27421,25,26
27422,28,40
27427,24,27
27445,35,37
27447,32,35
27450,29,36
27755,19,28
27756,0,0
27759,30,38
27760,31,36
27763,43,43
27764,22,22
27765,33,34
27766,13,17
27767,21,24
27768,18,21
27982,23,26
28138,22,25
28277,16,21
28285,19,29
29090,23,26
29095,37,37
29097,23,33
29099,8,16
29114,21,21
29115,0,0
29116,23,25
29117,0,0
29441,18,18
29442,0,0
29448,26,29
29587,16,21
29588,17,18
29684,16,23
29721,30,30
29729,29,33
29730,25,28
29847,27,33
29848,24,29
30013,21,22
30020,22,29
30030,29,39
30039,8,10
30371,15,18
30374,32,39
30495,26,26
30496,0,0
30808,19,21
30841,11,11
30842,0,0
30848,13,14
30852,22,24
30853,33,37
31058,24,34
31059,12,15
31060,0,0
31061,25,32
31062,0,0
31065,4,6
31067,19,29
31417,26,35
31419,15,17
31420,12,15
31421,34,35
31425,21,33
31426,16,22
31427,26,27
31483,14,15
31486,20,27
31488,32,42
31489,23,28
31490,27,29
31491,24,26
31493,0,0
31494,29,34
31495,37,48
31497,12,25
31567,29,30
31568,50,61
31569,0,0
31570,34,40
31571,33,34
31572,31,33
31573,31,32
31574,30,31
31575,31,33
31576,18,25
31577,21,26
31578,23,27
31579,16,28
31610,36,40
31966,4,8
31968,9,9
31969,30,37
31970,27,29
32165,19,25
32228,24,32
32302,34,40
32303,35,40
32304,32,42
32305,32,34
32306,31,35
32307,32,35
32308,26,30
32309,0,0
32310,33,36
32311,0,0
32312,38,40
32313,23,34
32314,30,41
32315,31,36
32316,29,35
32317,25,31
32318,16,24
32319,0,0
32320,25,30
32321,30,36
32322,16,20
32323,22,28
32324,30,37
32325,31,36
32327,27,34
32328,29,33
32329,23,39
32330,35,38
32331,24,28
32332,36,43
32333,24,26
32334,23,28
32335,24,29
32336,29,32
32337,29,32
32338,29,31
32339,24,28
32340,33,34
32341,27,28
32342,26,26
32343,27,38
32344,21,29
32345,0,0
32346,0,0
32347,0,0
32348,20,21
32349,34,41
32350,0,0
32351,0,0
32352,0,0
32495,31,36
32496,25,36
32497,27,36
32498,19,32
32499,0,0
32535,27,32
(blank),,
Grand Total,6313,7589
